category,function,metric_type,timestamp,unit,value
reflex,process_event,latency,2026-03-10T19:19:39.530625+00:00,ms,6415.340290986933
reflex,process_event,latency,2026-03-10T19:25:43.511609+00:00,ms,11073.694207996596
reflex,process_event,latency,2026-03-10T19:26:30.069883+00:00,ms,4144.305332971271
reflex,process_event,latency,2026-03-10T19:33:58.633169+00:00,ms,5082.518707960844
reflex,process_event,latency,2026-03-10T22:25:50.576112+00:00,ms,5410.068124998361
reflex,process_event,latency,2026-03-10T22:26:59.241849+00:00,ms,3405.8280829922296
reflex,process_event,latency,2026-03-10T22:29:15.938108+00:00,ms,4223.946042009629
reflex,process_event,latency,2026-03-10T22:30:01.614168+00:00,ms,3384.320624987595
reflex,process_event,latency,2026-03-10T22:30:17.709519+00:00,ms,5534.15258298628
reflex,process_event,latency,2026-03-11T01:25:43.980848+00:00,ms,10452.83445896348
reflex,process_event,latency,2026-03-11T01:25:43.031910+00:00,ms,9502.77904199902
reflex,process_event,latency,2026-03-11T02:59:25.883635+00:00,ms,9478.72454096796
reflex,process_event,latency,2026-03-11T02:59:26.537276+00:00,ms,10132.422792026773
reflex,process_event,latency,2026-03-11T02:59:44.339565+00:00,ms,8561.605207971297
reflex,process_event,latency,2026-03-11T02:59:43.409646+00:00,ms,7634.045875049196
reflex,process_event,latency,2026-03-11T03:00:18.200993+00:00,ms,8233.139457996003
reflex,process_event,latency,2026-03-11T03:00:18.974309+00:00,ms,9006.363541993778
reflex,process_trigger_fired,latency,2026-04-09T08:58:50.823484+00:00,ms,8103.4560420084745
reflex,process_trigger_fired,latency,2026-04-09T09:04:52.011881+00:00,ms,8669.26524999144
reflex,process_trigger_fired,latency,2026-04-11T03:04:47.284019+00:00,ms,7723.428042023443
reflex,process_trigger_fired,latency,2026-04-11T03:58:47.070401+00:00,ms,7410.858165996615
reflex,process_trigger_fired,latency,2026-04-11T04:00:42.999870+00:00,ms,3165.911666001193
reflex,process_trigger_fired,latency,2026-04-11T04:03:49.276876+00:00,ms,3153.9916660112794
reflex,process_trigger_fired,latency,2026-04-11T04:05:00.644778+00:00,ms,20438.53504100116
reflex,process_trigger_fired,latency,2026-04-11T04:17:51.659821+00:00,ms,11345.923542015953
reflex,process_trigger_fired,latency,2026-04-11T06:49:16.515523+00:00,ms,10163.805709016742
reflex,process_trigger_fired,latency,2026-04-11T06:54:49.005097+00:00,ms,13923.878665984375
reflex,process_trigger_fired,latency,2026-04-11T06:59:08.860575+00:00,ms,6804.568374995142
reflex,process_trigger_fired,latency,2026-04-11T07:03:30.107725+00:00,ms,2120.9522919962183
reflex,process_trigger_fired,latency,2026-04-11T21:00:07.092012+00:00,ms,7455.587417003699
reflex,process_trigger_fired,latency,2026-04-11T21:00:11.585130+00:00,ms,4490.117624984123
reflex,process_trigger_fired,latency,2026-04-12T21:00:06.265573+00:00,ms,6535.657500004163
reflex,process_trigger_fired,latency,2026-04-12T21:00:09.293918+00:00,ms,3023.3620000071824
reflex,process_trigger_fired,latency,2026-04-13T21:01:16.386451+00:00,ms,18327.9564580007
reflex,process_trigger_fired,latency,2026-04-14T21:13:21.196436+00:00,ms,27936.811042018235
reflex,process_trigger_fired,latency,2026-04-16T21:00:25.670739+00:00,ms,26159.373082977254
reflex,process_trigger_fired,latency,2026-04-16T21:00:30.326824+00:00,ms,4652.945875015575
reflex,process_trigger_fired,latency,2026-04-17T21:01:08.057772+00:00,ms,14761.973624990787
reflex,process_trigger_fired,latency,2026-05-10T21:00:58.300743+00:00,ms,15593.115459021647
reflex,process_event,latency,2026-07-16T04:50:26.347413+00:00,ms,17094.65270896908
reflex,process_trigger_fired,latency,2026-07-16T04:50:26.944301+00:00,ms,17688.249792088754
reflex,process_event,latency,2026-07-16T05:07:49.921677+00:00,ms,5775.724458042532
reflex,process_event,latency,2026-07-16T05:15:02.539171+00:00,ms,7206.340792006813
reflex,process_event,latency,2026-07-16T05:18:27.520518+00:00,ms,4430.663625011221
reflex,process_trigger_fired,latency,2026-07-16T21:00:09.891543+00:00,ms,10473.003500024788
reflex,process_trigger_fired,latency,2026-07-16T21:00:24.349023+00:00,ms,14454.869417008013
