completion_tokens,function,inference_ms,metric_type,model,prompt_tokens,timestamp,total_tokens,unit
28,infer,6414.886791957542,tokens,ollama,904,2026-03-10T19:19:39.530476+00:00,932,tokens
28,infer,11073.389457946178,tokens,ollama,666,2026-03-10T19:25:43.511521+00:00,694,tokens
28,infer,4143.801625003107,tokens,ollama,714,2026-03-10T19:26:30.069601+00:00,742,tokens
28,infer,5082.407334004529,tokens,ollama,676,2026-03-10T19:33:58.633078+00:00,704,tokens
24,infer,5409.43287499249,tokens,ollama,702,2026-03-10T22:25:50.575911+00:00,726,tokens
24,infer,3405.695417022798,tokens,ollama,670,2026-03-10T22:26:59.241741+00:00,694,tokens
27,infer,4223.260416008998,tokens,ollama,725,2026-03-10T22:29:15.937935+00:00,752,tokens
27,infer,3384.1633750125766,tokens,ollama,665,2026-03-10T22:30:01.614037+00:00,692,tokens
27,infer,5534.004874993116,tokens,ollama,861,2026-03-10T22:30:17.709391+00:00,888,tokens
27,infer,10452.151083038189,tokens,ollama,1106,2026-03-11T01:25:43.980781+00:00,1133,tokens
27,infer,9502.612542011775,tokens,ollama,616,2026-03-11T01:25:43.031765+00:00,643,tokens
27,infer,9478.586500044912,tokens,ollama,1093,2026-03-11T02:59:25.883518+00:00,1120,tokens
27,infer,10132.263499952387,tokens,ollama,600,2026-03-11T02:59:26.537138+00:00,627,tokens
27,infer,8560.817792022135,tokens,ollama,1055,2026-03-11T02:59:44.339426+00:00,1082,tokens
27,infer,7633.744625025429,tokens,ollama,656,2026-03-11T02:59:43.409367+00:00,683,tokens
27,infer,8232.974833983462,tokens,ollama,1037,2026-03-11T03:00:18.200857+00:00,1064,tokens
27,infer,9006.197041948326,tokens,ollama,725,2026-03-11T03:00:18.974164+00:00,752,tokens
